,id,date,dateYear,dateMonth,dateDay,rating,userName,content
10,11,20220816,2022,08,16,3,mari mo,식단 신호등?? 개편이 필요할 것 같아요 우유 한잔만 마셔도 빨간색에 불이 잔뜩 들어오니까 스트레스를 받게 되더라고요 단순히 칼로리만으로 색을 구분하니까 영양적인 요소에서 식단조절을 하는 사람 입장에서는 좀 많이 불편할 것 같네요
11,12,20200128,2020,01,28,3,Google 사용자,"칼로리나 걸음수를 좀 더 관리하도록 동기 부여가 되서 좋아요. 하지만, 식단표에 음식이 검색되지 않는 부분이나, 음식 단위 선택 부족. 그리고 칼로리로 입력 시, 일일이 드래그해서 선택 칼로리를 선택해야 하는 점은 개선이 필요하다 생각합니다. 추가로 토X 만보기나 삼성 헬스 만보기는 동기화가 잘되는데 눔 만보기는 항상 다른 어플들과 동기화가 되지 않고 정확도가 떨어지더라구요. 이 부분은 좀 아쉬운 것 같네요."
12,13,20190409,2019,04,09,3,Google 사용자,"일일 목표에서 운동 영상 링크하면 나오는 vimeo 페이지 비디오가 가로로 좀 볼 수 있었으면 좋겠어요. 휴대폰 화면전환 설정을 풀어도 안 돌아가고, 설정에도 없고.. 서서 화면 보면서 하려면 너무 작아서 잘 보기 힘들어요 + 여러 페이지로 되어있는 아티클의 보통 제일 끝 장에 운동영상 목록이 있는데, 한 영상을 보고 다음영상으로 뒤로가기를 누르연 아티클의 제일 첫 페이지로 돌아가는것도 너무 불편해요"
13,14,20191210,2019,12,10,1,Google 사용자,운동기록->체력단련등의 항목에 예전처럼 '메모'가능하게 바꿔주실수없나요???3년전에 건의드렸는데 아직도 그대로네요 근력운동은 그냥 1시간 이렇게 기록하지않고 보통 상체 바벨로우 몇키로 몇세트 이런식으로 기록하는데 천편일률적으로 시간단위밖에없어서 몹시 불편합니다. 이런식으로 인터페이스가 다채롭지못하면 초보다이어터나 눔에 접근하지 요새같은 다이어트어플범람시대에 큰메리트도 없고 장기적유저는 점점사라질듯합니다
14,15,20201225,2020,12,25,5,최창현,"4개월 머니백 코스 마쳤어요. 강추합니다. 별로 어렵지 않게 7Kg 뺐어요. 화면이 좀 단순해서 휑해 보이지만 그러다 보니 식사나 운동 입력이 엄청 간단하고 손이 많이 안가요. 그리고 식사 입력이 여러가지 단위를 미리 제공해주는 것이 정말 편리합니다. g. 제공량. 접시.큰접시.국그릇.공기.반찬그릇 같이 정확한 단위부터 일상생활에서 접하는 단위까지 다양하게 고를 수 있어서 입력이 무척 쉽습니다. 다른 앱보다 비용이 조금 더 들긴 하는데, 실제 코치님들이 응원해주는 것이나 입력의 편의성을 보면 비용 차이를 뛰어넘는 다고 봅니다."
15,16,20200211,2020,02,11,4,Google 사용자,"과학적인 사실에 기반하여 다이어트를 제대로 할수있는 방법을 알려줍니다. 특히 수행자가 맞닥뜨리는 문제, 좌절을 기가막히게 예측하여 그에 맞는 아티클을 제공하여 다이어트를 끝까지 완주할수있게 합니다. 눔 다이어트 프로그램은 그 어떤 프로그램보다 완벽에 가깝다고 생각합니다. 페이백 프로그램으로 강한 동기부여 및 그로인한 금전적 이득을 가져갈수 있는 지금, 다이어트를 하고싶은 사람에게 눔 프로그램을 추천합니다. 훌륭한 다이어트 티칭 프로그램임에도 불구하고, 앱 자체의 단점이 많아 별은 4개만 드리겠습니다. 앱 자체의 단점은 아래와 같습니다. 1. 걸음수 체크가 너무 부정확함. 2. 기록할수 있는 운동의 종류가 제한적임. 3. 식단 정보 업데이트가 느림. 4. 텍스트 수정시 입력창을 한번 더 눌러야하는 치명적인 버그가 있음."
16,17,20200618,2020,06,18,5,박현철,처음에는 귀찮을지 모르나 이로 인해 상당한 항암효과와 더불어 암을 극복하는데 도움이 되고있습니다... 정말 좋은 프로그램입니다. 아쉬운점은 아니 욕심이라고 하면 식사메뉴에서 조금더 선택폭이 있으면 좋겠습니다. 가령 블루베리4알 ^^ 보다 더 먹으니까요...^^ 칼로리를 중심으로 하는 점이 있지만 현실은 좀 다르니까요...상당히 좋은 프로그램입니다...
17,18,20210420,2021,04,20,4,Mission In the City,"유용한 심리아티클과 함께 다이어트 일지를 기록하기 편한 인터페이스, 코치와의 소통과 커뮤니티까지 필요한 요소들이 다양하게 있습니다. 다이어트 의지만 있다면, 유용합니다. 전체적인 기능 만족하는데, 태블릿 모드 보완이 필요합니다. Satisfied with overal function. However, I want this app to be improved such as tablet mode(auto rotation to use my tablet keyboard)."
18,19,20190709,2019,07,09,4,Google 사용자,"일단 운동을 하지 않더라도 식단기록만해도 환급금을 받을 수 있다는 심플함에 반해서 고민하다가 목표체중기입하고 4개월 프로그램시작했습니다. 매달 오프라인 운동수업도 한번의 무료체험이 가능하고, 그룹과 개인으로 나뉘어져서 지속적인 동기부여가 가능했습니다. 이제 4개월 프로그램이 끝났지만 식단기록은 습관이 되어서 꾸준히 할듯해요^^ 추천합니다."
19,20,20191016,2019,10,16,4,Google 사용자,"6개월 꼬박 함께 하며 3자리를 2자리로 바꾸었다. 회식과 폭식하는 습관을 버리진 못했어도 식단을 적고. 운동을 섞는 기술을 배웠다. 만보기가 부분적으로 연동되지 않아 처음엔 불편했다. 하지만 내가 할 수 있는 가장 쉬운 일이고 해 보고 싶었던 하루 3끼 식단을 적는 도전이 마음에 쏙 들었다. 과학적인 인용을 통해. 다이어트를 이해하게 되었고 조급증 보다 포기하지 않고 해낼 수 있는 자신감을 갖게 되었다. 특히 1:1코칭을 통해 운동, 식단을 분석해서 또 한번 해볼까 하는 응원 덕에 꾸준함을 배웠다. 적게 먹는 것보다 건강하게 먹는 습관에 길들여 졌다. 내가 할 수 있고 끊임없이 조금씩 해나가다 보면 앞자리 숫자를 꾸준히 바꿀 수 있을 것 같다. thanks noom!"
20,21,20220912,2022,09,12,2,KyungHyun Nam,오랜만에 다시 사용하려고 보니 이메일과 연동된 패스워드를 모르겠어서 패스워드 모를시 이메일로 방법 보내준다고 써있는대로 여러번 이메일 주소 넣었는데 제 이메일로 아무런 메일도 오지 않네요. 해킹 당한건지 어떤건지 불안합니다.
21,22,20220914,2022,09,14,1,que sabes,왜 갑자기 안들어가질까요? 진행중인 표시만 뜨고 홈화면으로 접속에 실패하네요 메일이 수신불가능한 메일이라네요?
22,23,20200728,2020,07,28,5,겨울꽃,"환급해준다는 것 하나만으로 동기부여가 확실히 와서 시작하게 됩니다. 심리학 기반 다이어트 코칭 프로그램이라고 해서 여러가지 읽을 거리들을 제공해주는데 와닿는 내용도 있고 아닌 내용도 있어요. 미션이 크게 어렵지 않아서 부담스럽지 않아요. 식단 잘 기록하고 체중 매일 기록하면 됩니다. 아티클이나 코치님도 도움이 되지만, 식단 기록과 체중 기록 습관을 들이게 된게 가장 이득인 것 같아요. 저는 8키로 감량했습니다. 식단기록과 체중기록은 무료프로그램으로도 할 수 있어서 추가로 하지는 않지만 나중에 동기가 떨어지면 다시 할 것 같아요."
23,24,20210202,2021,02,02,5,장희정,"혼자 하기 힘든 식단관리, 생활습관 바꾸기 코치와 얘기하면서 다시 마음도 잡고 재도전하기도 하고 운동에 대해서 질문도 하고 좋습니다. 감량하고 유지하는 것도 힘든데 코치님하고 얘기하다보면 왜 감량을 하려했는지 첫 목표를 상기시켜주세요. 그게 다시 자극이 되고 작은 것도 잘 했다고 칭찬해주셔서 계속 할 도전하게 되는 것 같아요. 그리고 음식 검색하면 생각보다 많은 자료가 검색이 되서 좋고 레시피도 많이 도움이 되었어요. 가장 중요한 것은 본인의 의지이지만 동기부여를 상기시켜주는 좋은 프로그램입니다."
24,25,20201121,2020,11,21,3,Emily Hong,컨셉은 좋다. 다만 조금더 발전 해야 될거 같다. 1. 장점.식사를 기롣하는 습관을 길러주고 긍정적인 생각에 도움이 된다. 다이어트라는게 극단적인 것이 아닌 결국 건강한 습관에 달려있다라고 알려준다 2. 단점. 컨셉은 좋으나 조금 아쉬운건 AI같은 도와주는 컨설턴트다. 진정성이 좀 더 필요하다. 이 점이.개선된다면 훌륭한 앱이 될거같다.
25,26,20200410,2020,04,10,4,Google 사용자,"다 좋은데 만보기가 작동이 잘되지 않는거랑, 운동기록수정할때 갑자기 다른분위기의 창에서 수정을 해야할때(아니면 아예 수정이 안될때), 앱에 들어가면서 밑에 이상한 검은색 빈공간이 보일때 등 앱이 약간 허접?한게 조금 불편해서 별하나 깎았어요. 다이어트앱이라 다이어트만 잘되면 되지하고 생각하다가도 그래도...돈냈는데 앱이 이렇게 허술한 감이 있으면 조금 실망스럽기도해요."
26,27,20200605,2020,06,05,4,Raychael yoon,의지박약인 저를 재미있는 아티클과 코치님의 꿀정보로 잘 이끌어주는 프로그램이에요! 사람마다 특성을 고려해서 식이와 운동으로 가이드를 주는 것같아 추천합니다. 다만 아쉬운 점은 1. 아티클에 고급정보가 많은데 다시 읽고싶을때 검색 기능이 없어서 날짜별로 찾아 들어가야한다는 것 2. 음식 신호등에 잘못 기입되어있거나 없는 음식이 있다는 것(단호박같은 경우 칼로리가 잘못설정되어있는것같아요) 3. 걷기와 연동이 되어있다하는데 거의 인식을 못해서 다른 걷기어플사용해서 매번 수정해야한다는 점
27,28,20190829,2019,08,29,1,Google 사용자,"결제 시스템이 최악입니다. 자동결제 취소신청을 한 달 전에 했고 완료됐다는 답변까지 받았는데, 종료일 전 자동결제 안내가 왔고 취소하려면 양식을 제출하라기에 접수가 잘 안되었나 싶어 다시 취소 접수를 했습니다. 그런데 날짜가 되니 정기결제가 되더군요. 정말 불쾌하고 이번일로 다시는 이 어플을 쓰고 싶지않습니다. 무료인 것 중에도 좋은게 많은데 비싼 돈 주고 했더니 아주 물고 놓아주질 않네요."
28,29,20191015,2019,10,15,3,Google 사용자,"갤럭시 S10 5G모델에서 사용중이었습니다. 갑자기 눔 실행이 되지 않아서 삭제하고 다시 설치를 했습니다. 그리고 로그인을 했는데 로그인은 되지만 이전 데이터가 표시가 되지 않습니다.계정 업데이트를 시도하니 ""서버에서 개인정보를 다운하는데 문제가 발생했습니다 "" 라는 오류가 나옵니다. 무료 버전이기에 일정기간 시간이 지나면 그렇게 되는 것인지, 아니면 다른 문제인지 모르겠습니다. 다른 문제면 수정을 요청드립니다."
29,30,20201006,2020,10,06,4,Chyo Hong,"두 달 동안 머니백 프로그램으로 사용했고, 제가 목표로 했던 만큼음 아니지만 여태까지 혼자 했을 때보다는 훨씬 체계적으로 체중 감량을 할 수 있었고 또 식단도 건강하게 바꿀 수 있어서 아주 도움이 되었습니다. 개별 코치가 있는 게 처음에는 아주 마음에 들었으나, 시간이 지날수록 어쩔 수 없이 대화가 줄어서 나중에는 혼자서 하는 느낌이 든 게 아쉬웠어요. 아무튼 앞으로도 배웠던 내용 잘 활용해 보려고요 ㅎㅎ"
30,31,20190212,2019,02,12,2,Google 사용자,"5년 전쯤 사용하고 괜찮았던 기억에 이번에는 유료 서비스를 사용했는데, 음식 데이터베이스가 부실하고 데이터베이스 내 항목들이 일관성이 조금 떨어지며, 결정적으로 앱이 너무 느려서 답답합니다. 환급 프로그램 끝나면 다시 사용할 생각이 전혀 없습니다. 삼성헬스 + 다이어트 오픈 단톡방 조합이 무료이고 훨씬 나을 것 같습니다."
31,32,20191112,2019,11,12,4,Google 사용자,"식사를 입력하면 왠만한 것들은 칼로리가 자동으로 계산되는 점, 해당 식사를 빨간 신호등, 노란 신호등, 초록 신호등으로 구분해서 식사량 조절을 하게 해주는 점, 다이어트 관련 심리적인 부분의 지식, 식단 관련 지식, 그룹을 통해 동기 부여가 되고 운동 영상이 제공되는 점이 좋았어요. 다만, 걸음수가 정확히 측정이 안되고, 개인 코치님의 피드백 시간이 조금 느린점? 그게 단점이었어요."
32,33,20200302,2020,03,02,3,Google 사용자,"평소 식습관을 모니터링하고 초록/노랑/빨강 그룹으로 음식을 분류해서 건강한 식습관을 기르는데 도움이 되고 있습니다 하지만 만보기가 작동을 전혀 안 하는 것 같고, 관심있는 아티클을 저장할 수 있는 기능이 갑자기 사라진 점이 정말 아쉽습니다 그리고 운동 비디오도 하나 보고 이전으로 돌아오면 아티클의 첫장으로 돌아와 매반 마지막 장까지 몇페이지를 반복적으로 넘겨야 해서 굉장히 번거롭습니다 눔에서는 실제로 앱을 사용해보고 있는지 모르겠지만 내용뿐만 아니라 사용자의 편리함도 고려해줬으면 좋겠습니다"
33,34,20201013,2020,10,13,5,시나브로,식이조절. 운동.. 두가지만 잘하면 살이 빠지는데 그걸 못하죠 참ㅠ 눔을 통해 식단일기 쓰는 습관이 잡혔습니다. 그러면서 자연스럽게 칼로리 조절 & 식사량 조절 & 음식 종류조절도 어느정도 하게 되었구요. 운동이 참 쉽지 않아요. 문 밖으로 나간다는게 홈트 준비를 하고 실천한다는게 그래서 하다말다 했더니 ㅠㅠ 드라마틱한 변화는 못누렸습니다. 그럼 눔을 했던 토대로 체중관리 방법은 알게됐어요~
34,35,20200923,2020,09,23,4,sumin Kim,"지속 가능하고 건강한 다이어트 습관을 익히기에 좋은 어플입니다. 레시피나 칼로리, 영양 정보가 더 다양해졌으면 하는 아쉬움은 있습니다. 하지만 아티클이나 코칭 프로그램 등으로 올바른 다이어트 방식을 제시하고 유도하는 점은 타 어플과는 확연히 다른 강점이긴 합니다. 기능이나 내용이 복잡하지 않고 명확한 점도 마음에 듭니다만 아티클 내용이 너무 쪼개져 있어서 집중하기 힘든 점도 있습니다."
35,36,20190122,2019,01,22,5,Google 사용자,"4개월 캐쉬백 프로그램을 사용해보았습니다 실제로 6키로가 빠졌고, 식단이나 운동량을 제가 원하는 강도로 조정이 가능햇던 부분이 좋았고, 코치님과 매일 연락이 가능한 부분도 좋았습니다. 진짜 실제로 환급도 해주네요 ㅋㅋㅋ 솔직히 한번 더 해서 완벽하게 10키로 빼고 싶은 생각도 있네요,, 눔 다이어터 여러분 화이팅입니다!"
36,37,20191021,2019,10,21,1,Google 사용자,"접속불가네요 그냥 들어가자마자 팅기는데 6시간째 이런거면 문제가 심각하네요 최우선 순위로 수정하고있다고 하신지가 거의 20일 다되어가네요... + 이제는 화면이 열리지만 이전에 기록했던 모든것이 날라가고 계정정보 업데이트도 오류걸린다고 안되서 하루이틀 시도하다 이제 삭제하려합니다. 다른 어플 이용해야지 이건 뭐.. 매일매일 기록하라고만들어둔 앱이 몇일간 안들어가지고, 이전 기록들 죄다 지워지고 기록 업데이트도 안되니 참.."
37,38,20200602,2020,06,02,5,정쭈쭈,"꾸준히 관리받을 수도 있고 그룹, 개인 코칭이 가능해서 효과적이었어요. 특히 머니백프로그램은 다른 어플에 비해서 달성하기가 굉장히 수월하게 되어있어서 부담없이 활용할수 있었어요. 첫번째에 이어 두번째 머니백 프로그램 성공까지 했어요. 우리가 다이어트 방법을 몰라서 실패하는게 아니라 중간에 의지박약으로 실패하게 되잖아요. 그런 측면에서 꾸준히 동기 이어나가기에 좋은어플입니다"
38,39,20191220,2019,12,20,4,Google 사용자,4개월 머니백 프로그램 진행했습니다! 운동 식단은 기본이고 심리적인 접근까지! 참신한 방법의 다이어트였습니다! 체중 뿐만 아니라 사고방식에도 긍정적 영향을 많이 미쳤어요! 딱 하나 조금 불편(?)했던건 외식할 때 식사기록이었어요...딱 내가 먹은 음식이 목록에 없을 때 기록하기가 좀 난감했습니다..ㅋㅋㅋ 그것 빼곤 다 좋았어요!
39,40,20220207,2022,02,07,3,최우영,"식단 관리를 해준다는거 자체가 좋긴한데....세부적으로는 개선사항이 많아보입니다. 우선 식품에대한 데이터가 무척 부족해서 기입하기 어렵다는점/단순히 칼로리총량 보다 탄,단,지 비율이 중요한데 이를 총합해서 보여주지 못 한다는점/코치님과 오프라인 대면을 할수가 없고 온라인 대화가 기계적으로 느껴져서 진심으로 고민거리를 털어놓거나 조언을 받아들이기 어렵다는 점/운동 기록은 하루가 지나버리면 그전날 기록을 할 수 없다는 점 등이 개선되었으면 합니다."
40,41,20190926,2019,09,26,2,Google 사용자,"사람들이 걸음수측정 자꾸 다른 어플이랑 다르다고 지적하는건 정말 심하게 차이나서 그러는겁니다. 하루종일 최소 2시간은 걸어다녔는데 어플 확인해보면 200걸음남짓 찍혀있고, 심리적 동기부여는 그렇게 강조하면서 이렇게 UX에 부정적 영향을 미치는 요소를 왜 방치하는지요? 자꾸 알고리즘 특성 운운하며 변명하는데 이정도면 ""특성상""이 아니라 뭔가 잘못된겁니다. 알고리즘이 이상하면 진지하게 뜯어봐서 개선을 하던지 아니면 좀 바꾸세요."
41,42,20200907,2020,09,07,5,임정현,돌고돌아 생활 속 다이어트로 안착하기에 좋아요. 반복되는 다욧으로 지친분들께 추천합니다. 단. 운동기록(시작)하기에서 앱켜고 걸어도 그 거리가 잘 측정되지 않아요. 삼성헬스는 전체코스가 다 나타나서 좋은데. 연동기능이 있는지는 모르겠지만 그거 빼 고는 다 귣입니다.
42,43,20220702,2022,07,02,1,윙클.L,그냥 기록하는 어플이랑 다를바없어요. 코치가 하는일도 딱히 없는것 같고. 한달 사용하면서 기록만 하는 어플에 굳이 5만원 가까이 필요할지는 좀; 환불신청도 어렵고. 처음 시작하면 아무런 설명도 없이 대뜸 결제부터 요구하는게 미친것 같음. 기록같은걸로 살빠지려면 굳이 이게 아니어도 될거 같음. 다이어트약이 낫겠다. 그나마 한가지 장점은 나한테 필요한 칼로리가 몇이고 기록에 따라 얼마남았는지 알려주는점? 딱히 없음. 다이어트 조언도 다른게 훨씬 낫고. 5만원에 값어치는 아닌것 같음. 코치 비용같은건가 싶은데 그렇다고 코치가 막 채찍질하면서 나무라는것도 아님. 가볍게 조언하는 정도? 근데 그거들을거면 이어플까지 안깔았지. 나한테는 딱히 효과가 없었던것 같음. 환불방법이 전화나 어플 두가지 방법인데 어플은 본사가 미국이라 그런가 메뉴에 숨겨놔서 거의 못찾음. 빡쳐서 전화로 신청해서 특별히 환불받았는데. 가입은 엄청 쉽고 탈퇴가 까다로움-_-^
43,44,20191217,2019,12,17,4,Google 사용자,눔 운동이 휴대폰으로 보기에 너무 불편하게 되어있어서 유투브 보고 따로 영상을 보면서 운동을 했었습니다. 생각외로 건강하거나 이정도면 나쁜 음식은 아니겠지 했던 음식들이 몸에 독이 되는 걸 알았어요. 습관개선에 도움이 되는 거 같습니다. 마지막 주에 체중기록이 추가기록을 눌러야만 할 수 있다는 점은 좀 의문스럽네요. 16주차 완료하고 건강히 감량 했습니다 감사합니다 눔^^
44,45,20210130,2021,01,30,4,김나디,눔 프로젝트 한달째 사용중입니다. 식사 체크 할 때 음식 안에 들어있는 영양소 분류와 칼로리 분석이 많이 개선되어야 할 거 같습니다. 똑같은 음식인데도 어떤건 빨강색 음식으로 체크되어있고 어떤건 노랑색 음식으로 체크되어있고.. 분석표 믿고 먹어도 되는지 모르겠습니다. 개선 부탁드려요~
45,46,20200729,2020,07,29,4,Jingi Kim (CopyX),"생각보다 그렇게 개인 맞춤형 코칭은 아니지만 나쁘지 않았어요. 중간에 잠깐 궤도에서 이탈해도 다시 돌아갈 수 있도록 독려해주고, 스스로 무엇을 하면 좋을 지 생각하고 이야기하게 해서 의지를 북돋아줍니다. 아티클들의 양이 많긴 하지만 읽으면 도움이 되는 내용들이 많아요. 다만 지난 아티클을 다시 읽으려면 힘듭니다."
46,47,20220810,2022,08,10,2,민경실,뭐죠???? 업데이트 전에는 이러지 않았는데 아예 초기화면에서 더이상 넘어가질 않아요;;; 돈주고 구매도 했는데 앱이 사용이 안되요. 지웠다가 다시깔아도 똑같아요; 왜이런거죠.. 부팅이 안되요
47,48,20181223,2018,12,23,1,Google 사용자,"다이어트에 어느정도 성공한 사람에게는 전혀 도움 안되는 어플. 알림설정 컴플레인을 3번을 걸어도 그런가요? 이정도 수준. 개선을 못함. 미국본사에 요청했다고 2번을 이야기했으나 그 이후 피드백은 없음. 내용은 그럴싸한 심리학적 용어와 외국어 단어를 조합시켜 사람을 현혹시킬 뿐, 사실 별반도움은 안됨. 그냥 알람 어플 받아서 운동시간 정해서 하루에 30분씩 운동하세요. 사기당하지말고ㅎㅎ"
48,49,20221023,2022,10,23,5,이수정,식단개선이 많이 되고 있어요 동기부여도 되고 돈 안아까워요
49,50,20200114,2020,01,14,5,Google 사용자,"프로그램 구매후 사용했어요 매일 올려주는 내용으로만, 온라인상으로만 과연 변화가 있을까? 반신반의 했는데 변하더라고요 !! 이 프로그램 통해서 앞자리 수가 바뀌었어요! 꾸준히 식사 적고 체중 체크하며 마치 옆에서 pt 강사가 조언해주는 느낌! 그러다보니 스스로 조절하고 제한하며 다른 식품 보조제 먹는것 보다 더 좋은 변화를 경험하게 되었어요 단, 걸음 수가 체크가 안되는지 하루 100보도 안 걸은 날로 표시될 때가 있어서 그냥 그 부분은 포기 했었고요 ^^; 누군가의 조언을 들으며 스스로 절제할 의지가 조금만 있다면 성공 가능성 확실합니다! 도전해보세요~"
50,51,20200104,2020,01,04,5,Google 사용자,주변인들에게 체중감량하고 있다는 티를 내지 않고도 건강하게 몸을 만들 수 있어서 좋았어요. 특히 칼로리 신호등과 체중을 재는 습관으로 동기부여가 되어서 좋았구요. 운동량 기록하면 먹을 수 있는 칼로리 늘어나는 것도 좋았습니다. 16주 프로그램 마치고 한 번 더 해서 몸에 정착시키고 싶어서 재결제 했어요^^
51,52,20220224,2022,02,24,5,JY,"한달되었는데, 특별히 운동한것도 없는데, 2.3kg 정도 빠졌어요 식습관 개선에 정말 좋은 앱같아요. 식단기록하면서 그간 안좋은 음식을 생각보다 많이 먹으면서 지냈구나를 알수 있었어요, 살뺀거와 상관없이 건강한 식습관을 갖게 된 것만으로도 만족합니다. 코치님의 상세한 피드백과 운동, 식이 정보제공도 좋았습니다:) 다만, 운동기록이 안드로이드는 수정이 안된다는것, 음식기록시, 해당음식이 없을때가 더러 있어서 입력하는게 번거롭다는 단점이 있어요, 아, 물 마시기기록에 컵사이즈가 어느정도 사이즈를 기준으로 한 컵인지, 조금 구체화되었으면 좋겠어요 단점보다 장점 많은 어플, 그외에는 정말 만족합니다ㅎㅎ"
52,53,20191210,2019,12,10,5,Google 사용자,16주 프로그램 결제해서 진행하고 이번주 수요일 드뎌 마지막 환급을 받습니다ㅎㅎ 드라마틱하게 감량이 일어나진 않았습니다. 왜냐...딱히 운동을 하진 않았거든요. 저의 목표는 식생활 개선이었기에 간식 및 식욕절제에 중점을 두고 그냥 4개월을보냈고 대략 3.5~4키로 정도 빠졌습니다. 아마 체중감량을 목표로 운동할 시간을 확보한 상태였다면 눔은 그에 맞는 적절한 코칭을 제공했을꺼고 성공했을꺼라 생각됩니다. 눔코치의 장점은 제가 원하는 방향을 제시하면 그에 맞추어 최대한의 효과를 줄수있도록 도와준다는 점입니다. 첫 3주동안은 체중이 전혀 변하지 않았지만 포기하지 않도록 응원해주었구요. 이후로는 서서히 바뀌는 저의 모습을 볼 수 있었습니다. 제가 간식을 먹지 않아도 전혀 입이나 손이 궁금하지 않게된점이 진심 신기할 지경이에요. 가랑비에 옷젖듯 천천히 저를 바뀌게해준 눔코치 덕분에 건강한 생활습관을 얻었습니다~
